OBJECT_ID	LANETYPE	LANECODE	BARRIER	CODE	STR_X	STR_Y	STR_Z	END_X	END_Y	END_Z	LENGTH	WIDTH	HEIGHT	REMARK	new_x	new_y
67	111	01	99	1	239653.96008900000	458938.74595600000	62.51242222220	239652.86421000000	458938.80297999900	62.51996000000	1.09736152944	0.25000000000	0.00000000000		361048.38805894200	4065846.98663788000
68	111	01	99	1	239652.86421000000	458938.80297999900	62.51996000000	239650.48603999900	458938.76551000000	62.53839000000	2.37846516690	0.25000000000	0.00000000000		361046.01005664100	4065846.99882040000
69	111	01	99	1	239650.48603999900	458938.76551000000	62.53839000000	239647.62185000000	458938.70104999900	62.55694000000	2.86491526003	0.25000000000	0.00000000000		361043.14566507000	4065846.99416800000
70	111	01	99	1	239647.62185000000	458938.70104999900	62.55694000000	239644.51691999900	458938.65532000000	62.56446000000	3.10526674188	0.25000000000	0.00000000000		361040.04102053800	4065847.01326288000
71	111	01	99	1	239644.51691999900	458938.65532000000	62.56446000000	239640.53554000000	458938.60213999900	62.59791000000	3.98173515155	0.25000000000	0.00000000000		361036.06012045500	4065847.04320414000
72	111	01	99	1	239640.53554000000	458938.60213999900	62.59791000000	239637.48337000000	458938.54514000000	62.64382000000	3.05270219788	0.25000000000	0.00000000000		361033.00797953000	4065847.04993230000
73	111	01	99	1	239637.48337000000	458938.54514000000	62.64382000000	239633.86343999900	458938.48469000000	62.67216000000	3.62043469858	0.25000000000	0.00000000000		361029.38823325800	4065847.06506223000
74	111	01	99	1	239633.86343999900	458938.48469000000	62.67216000000	239630.73439000000	458938.41910000000	62.72977000000	3.12973736121	0.25000000000	0.00000000000		361026.25906364900	4065847.06480848000
75	111	01	99	1	239630.73439000000	458938.41910000000	62.72977000000	239626.45311999900	458938.35868000000	62.78964000000	4.28169632156	0.25000000000	0.00000000000		361021.97824194600	4065847.09377199000
76	111	01	99	1	239626.45311999900	458938.35868000000	62.78964000000	239622.83919000000	458938.29398999900	62.80426000000	3.61450893503	0.25000000000	0.00000000000		361018.36440460400	4065847.10453837000
77	111	01	99	1	239622.83919000000	458938.29398999900	62.80426000000	239619.92368000000	458938.25666999900	62.83437372990	2.91574884757	0.25000000000	0.00000000000		361015.44927964500	4065847.12808629000
78	111	01	99	1	239619.92368000000	458938.25666999900	62.83437372990	239615.83012000000	458938.15674000000	62.88375000000	4.09477953970	0.25000000000	0.00000000000		361011.35526814200	4065847.11363766000
79	111	01	99	1	239615.83012000000	458938.15674000000	62.88375000000	239612.05992999900	458938.08253999900	62.91574372990	3.77092008340	0.25000000000	0.00000000000		361007.58503451900	4065847.11815932000
80	111	11	99	1	239612.05992999900	458938.08253999900	62.91574372990	239607.95444999900	458938.02032000000	62.94389000000	4.10595145608	0.25000000000	0.00000000000		361003.47989472300	4065847.14165444000
81	111	11	99	1	239607.95444999900	458938.02032000000	62.94389000000	239602.16913200000	458937.89903199900	62.99158000000	5.78658923539	0.25000000000	0.00000000000		360997.69435451100	4065847.14116718000
82	111	01	99	1	239602.16913200000	458937.89903199900	62.99158000000	239599.72497000000	458937.88027000000	62.99637000000	2.44423402126	0.25000000000	0.00000000000		360995.25077648400	4065847.17342745000
83	111	01	99	1	239599.72497000000	458937.88027000000	62.99637000000	239595.68570999900	458937.80888999900	63.03520000000	4.03989064857	0.25000000000	0.00000000000		360991.21163884400	4065847.18638407000
84	111	01	99	1	239595.68570999900	458937.80888999900	63.03520000000	239592.17371000000	458937.74992300000	63.09485216240	3.51249521206	0.25000000000	0.00000000000		360987.69980956900	4065847.20074364000
85	111	01	99	1	239592.17371000000	458937.74992300000	63.09485216240	239587.05392000000	458937.65776999900	63.14199000000	5.12061906611	0.25000000000	0.00000000000		360982.58013966600	4065847.21548858000
86	111	01	99	1	239587.05392000000	458937.65776999900	63.14199000000	239583.34802999900	458937.59775999900	63.17389000000	3.70637584348	0.25000000000	0.00000000000		360978.87447607700	4065847.23285250000
87	111	01	99	1	239583.34802999900	458937.59775999900	63.17389000000	239579.62555999900	458937.56413999900	63.19702000000	3.72262181874	0.25000000000	0.00000000000		360975.15278986300	4065847.27694195000
88	111	01	99	1	239579.62555999900	458937.56413999900	63.19702000000	239576.13292000000	458937.47765999900	63.24746000000	3.49371048584	0.25000000000	0.00000000000		360971.65973857600	4065847.26339545000
89	111	01	99	1	239576.13292000000	458937.47765999900	63.24746000000	239572.63316999900	458937.41272000000	63.28486000000	3.50035244901	0.25000000000	0.00000000000		360968.16002965500	4065847.27152875000
90	111	01	99	1	239572.63316999900	458937.41272000000	63.28486000000	239569.29318000000	458937.35194999900	63.32432000000	3.34054279922	0.25000000000	0.00000000000		360964.82010397300	4065847.28049585000
91	111	01	99	1	239569.29318000000	458937.35194999900	63.32432000000	239565.16393000000	458937.25222999900	63.36314000000	4.13045392662	0.25000000000	0.00000000000		360960.69042018100	4065847.26700206000
92	111	01	99	1	239565.16393000000	458937.25222999900	63.36314000000	239562.03599000000	458937.16360999900	63.42232000000	3.12919512786	0.25000000000	0.00000000000		360957.56187849500	4065847.24370432000
41	111	01	99	1	239653.96008900000	458938.74595600000	62.51242222220	239652.86421000000	458938.80297999900	62.51996000000	1.09736152944	0.25000000000	0.00000000000		361048.38805894200	4065846.98663788000
40	111	01	99	1	239652.86421000000	458938.80297999900	62.51996000000	239650.48603999900	458938.76551000000	62.53839000000	2.37846516690	0.25000000000	0.00000000000		361046.01005664100	4065846.99882040000
